_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry,lon,lat,geometry
16,77,FIRE STATION 433,615 ROYAL YORK RD,10142756,181271,10142758,REGULAR,615,Royal York Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 433,NA,NA,NA,NA,Etobicoke-Lakeshore (3),Etobicoke,1918334,"c(-79.5029381693498, 43.6280185381182)",-79.5029381693498,43.6280185381182,"c(-79.5029381693498, 43.6280185381182)"
17,80,FIRE STATION 441,947 MARTIN GROVE RD,6044964,22707,6044958,REGULAR,947,Martin Grove Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 441,NA,NA,NA,NA,Etobicoke North (1),Etobicoke,1959089,"c(-79.5719196489125, 43.6949604663995)",-79.5719196489125,43.6949604663995,"c(-79.5719196489125, 43.6949604663995)"
18,59,FIRE STATION 341,555 OAKWOOD AVE,69771,96972,7809,REGULAR,555,Oakwood Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 341,NA,NA,NA,NA,Toronto-St. Paul's (12),York,1961768,"c(-79.4411405905638, 43.6945203032832)",-79.4411405905638,43.6945203032832,"c(-79.4411405905638, 43.6945203032832)"
19,78,FIRE STATION 434,3 LUNNESS RD,6738444,1406,6738419,REGULAR,3,Lunness Rd,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 434, Ambulance Station 38N",NA,NA,NA,NA,Etobicoke-Lakeshore (3),Etobicoke,1977909,"c(-79.5439889406404, 43.6025703358919)",-79.5439889406404,43.6025703358919,"c(-79.5439889406404, 43.6025703358919)"
20,43,FIRE STATION 311,20 BALMORAL AVE,8741293,116679,20062243,REGULAR,20,Balmoral Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 311,NA,NA,NA,NA,Toronto-St. Paul's (12),former Toronto,1995083,"c(-79.3939758413006, 43.6859508063859)",-79.3939758413006,43.6859508063859,"c(-79.3939758413006, 43.6859508063859)"
21,50,FIRE STATION 323,153 CHATHAM AVE,8837366,226454,20080084,REGULAR,153,Chatham Ave,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 323, Ambulance Station 4",NA,NA,NA,NA,Toronto-Danforth (14),former Toronto,2004250,"c(-79.3346621153039, 43.6795428878229)",-79.3346621153039,43.6795428878229,"c(-79.3346621153039, 43.6795428878229)"
22,36,FIRE STATION 234,40 CORONATION DR,2219446,338580,2219434,REGULAR,40,Coronation Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 234,NA,NA,NA,NA,Scarborough-Guildwood (24),Scarborough,2004920,"c(-79.1915220291274, 43.7610681663423)",-79.1915220291274,43.7610681663423,"c(-79.1915220291274, 43.7610681663423)"
23,79,FIRE STATION 435,130 EIGHTH ST,998837,187175,20048251,REGULAR,130,Eighth St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 435,NA,NA,NA,NA,Etobicoke-Lakeshore (3),Etobicoke,2012378,"c(-79.5069699933954, 43.6011185170765)",-79.5069699933954,43.6011185170765,"c(-79.5069699933954, 43.6011185170765)"
24,72,FIRE STATION 424,462 RUNNYMEDE RD,7985900,55504,7985886,REGULAR,462,Runnymede Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 424,NA,NA,NA,NA,Parkdale-High Park (4),former Toronto,2025112,"c(-79.4796294010287, 43.6583545553016)",-79.4796294010287,43.6583545553016,"c(-79.4796294010287, 43.6583545553016)"
25,26,FIRE STATION 221,2575 EGLINTON AVE E,330710,317332,111065,REGULAR,2575,Eglinton Ave E,NA,Restaurant,"Land, Structure, Structure Entrance",NA,NA,NA,NA,NA,NA,Scarborough Southwest (20),Scarborough,2048861,"c(-79.2550627035035, 43.7347901432983)",-79.2550627035035,43.7347901432983,"c(-79.2550627035035, 43.7347901432983)"
26,29,FIRE STATION 224,1313 WOODBINE AVE,6620011,262674,6620012,REGULAR,1313,Woodbine Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 224,NA,NA,NA,NA,Beaches-East York (19),East York,2062647,"c(-79.3165970101621, 43.6951874596139)",-79.3165970101621,43.6951874596139,"c(-79.3165970101621, 43.6951874596139)"
27,41,FIRE STATION 244,2340 BIRCHMOUNT RD,4570660,295586,4570662,REGULAR,2340,Birchmount Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 244,NA,NA,NA,NA,Scarborough-Agincourt (22),Scarborough,2063805,"c(-79.299115316238, 43.7816824952506)",-79.299115316238,43.7816824952506,"c(-79.299115316238, 43.7816824952506)"
28,31,FIRE STATION 226,87 MAIN ST,6294642,215086,1140025,REGULAR,87,Main St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 226,NA,NA,NA,NA,Beaches-East York (19),former Toronto,2080935,"c(-79.2990652659353, 43.6819233409924)",-79.2990652659353,43.6819233409924,"c(-79.2990652659353, 43.6819233409924)"
29,9,FIRE STATION 123,143 BOND AVE,11541989,276675,11541986,REGULAR,143,Bond Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 123,NA,NA,NA,NA,Don Valley East (16),North York,2108616,"c(-79.346726033251, 43.7458140063562)",-79.346726033251,43.7458140063562,"c(-79.346726033251, 43.7458140063562)"
30,11,FIRE STATION 131,3135 YONGE ST,7785457,420576,7785453,REGULAR,3135,Yonge St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 131,NA,NA,NA,NA,Don Valley West (15),former Toronto,2119715,"c(-79.4021572823979, 43.7262170049856)",-79.4021572823979,43.7262170049856,"c(-79.4021572823979, 43.7262170049856)"
31,28,FIRE STATION 223,116 DORSET RD,9486826,316015,14666179,REGULAR,116,Dorset Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 223,NA,NA,NA,NA,Scarborough Southwest (20),Scarborough,2172861,"c(-79.2332610776553, 43.7239567617954)",-79.2332610776553,43.7239567617954,"c(-79.2332610776553, 43.7239567617954)"
32,33,FIRE STATION 231,740 MARKHAM RD,8714126,344653,8714123,REGULAR,740,Markham Rd,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 231,NA,NA,NA,NA,Scarborough-Guildwood (24),Scarborough,2175731,"c(-79.2277876628423, 43.7646440088669)",-79.2277876628423,43.7646440088669,"c(-79.2277876628423, 43.7646440088669)"
33,44,FIRE STATION 312,34 YORKVILLE AVE,8677247,125045,14014191,REGULAR,34,Yorkville Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 312,NA,NA,NA,NA,University-Rosedale (11),former Toronto,2224532,"c(-79.3889203795552, 43.6718748612736)",-79.3889203795552,43.6718748612736,"c(-79.3889203795552, 43.6718748612736)"
34,40,FIRE STATION 243,4560 SHEPPARD AVE E,4840624,484827,4840625,REGULAR,4560,Sheppard Ave E,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 243, Ambulance Station 29",NA,NA,NA,NA,Scarborough North (23),Scarborough,2236216,"c(-79.2629602053098, 43.7891369171176)",-79.2629602053098,43.7891369171176,"c(-79.2629602053098, 43.7891369171176)"
35,83,FIRE STATION 444,666 RENFORTH DR,1027149,24765,910843,REGULAR,666,Renforth Dr,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 444,NA,NA,NA,NA,Etobicoke Centre (2),Etobicoke,2238015,"c(-79.5826959880308, 43.6574667398934)",-79.5826959880308,43.6574667398934,"c(-79.5826959880308, 43.6574667398934)"
36,25,FIRE STATION 215,5318 LAWRENCE AVE E,354673,327448,107237,REGULAR,5318,Lawrence Ave E,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 215,NA,NA,NA,NA,Scarborough-Rouge Park (25),Scarborough,2250005,"c(-79.1480658922187, 43.7773919350636)",-79.1480658922187,43.7773919350636,"c(-79.1480658922187, 43.7773919350636)"
37,71,FIRE STATION 423,358 KEELE ST,7583839,66462,14014794,REGULAR,358,Keele St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 423,NA,NA,NA,NA,Parkdale-High Park (4),former Toronto,2286011,"c(-79.4647539608107, 43.6647417825914)",-79.4647539608107,43.6647417825914,"c(-79.4647539608107, 43.6647417825914)"
38,22,FIRE STATION 212,8500 SHEPPARD AVE E,20110476,483764,104501,REGULAR,8500,Sheppard Ave E,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 212, Ambulance Station 25",NA,NA,NA,NA,Scarborough-Rouge Park (25),Scarborough,2303629,"c(-79.1886200061229, 43.8049322415793)",-79.1886200061229,43.8049322415793,"c(-79.1886200061229, 43.8049322415793)"
39,32,FIRE STATION 227,1904 QUEEN ST E,9980187,213587,9980168,REGULAR,1904,Queen St E,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 227,NA,NA,NA,NA,Beaches-East York (19),former Toronto,2309211,"c(-79.3050381995295, 43.6691630088656)",-79.3050381995295,43.6691630088656,"c(-79.3050381995295, 43.6691630088656)"
40,27,FIRE STATION 222,755 WARDEN AVE,2374883,195873,8741020,REGULAR,755,Warden Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 222,NA,NA,NA,NA,Scarborough Southwest (20),Scarborough,2449586,"c(-79.2840906320077, 43.7203994274282)",-79.2840906320077,43.7203994274282,"c(-79.2840906320077, 43.7203994274282)"
41,49,FIRE STATION 322,256 COSBURN AVE,19832,256667,14646506,REGULAR,256,Cosburn Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 322,NA,NA,NA,NA,Toronto-Danforth (14),East York,2455220,"c(-79.3423437199078, 43.6909861622398)",-79.3423437199078,43.6909861622398,"c(-79.3423437199078, 43.6909861622398)"
