iso2c,country,year,FP.CPI.TOTL.ZG,NY.GDP.MKTP.KD.ZG
AU,Australia,1960,3.72881355932205,NA
AU,Australia,1961,2.2875816993464,2.48327050212353
AU,Australia,1962,-0.319488817891384,1.29446824362078
AU,Australia,1963,0.641025641025639,6.21494897490116
AU,Australia,1964,2.86624203821656,6.97854037246404
AU,Australia,1965,3.40557275541798,5.98089251260348
AU,Australia,1966,3.29341317365269,2.38196612040791
AU,Australia,1967,3.47826086956521,6.30365014583948
AU,Australia,1968,2.52100840336133,5.09510319708619
AU,Australia,1969,3.27868852459017,7.04352625566381
AU,Australia,1970,3.43915343915344,7.17578158725287
AU,Australia,1971,6.13810741687979,3.99961512039795
AU,Australia,1972,6.02409638554218,3.90905550523166
AU,Australia,1973,9.09090909090911,2.61919305910735
AU,Australia,1974,15.4166666666667,4.10545941757603
AU,Australia,1975,15.1624548736462,1.33564630860776
AU,Australia,1976,13.3228840125392,2.59132666820958
AU,Australia,1977,12.3098201936376,3.59286237646097
AU,Australia,1978,8.00492610837437,0.894104096177387
AU,Australia,1979,9.12200684150512,4.05078058108339
AU,Australia,1980,10.1358411703239,3.03539927689404
AU,Australia,1981,9.48766603415561,3.33880733349639
AU,Australia,1982,11.3518197573657,3.32286786134055
AU,Australia,1983,10.0389105058366,-2.22196943253216
AU,Australia,1984,3.96039603960395,4.59592426080013
AU,Australia,1985,6.73469387755101,5.2521152448473
AU,Australia,1986,9.05035054174635,4.03096802586074
AU,Australia,1987,8.53302162478083,2.54793201432742
AU,Australia,1988,7.21593968766826,5.74367784273176
AU,Australia,1989,7.53390256152692,3.86444044919597
AU,Australia,1990,7.33302195235869,3.5735068997854
AU,Australia,1991,3.17667536988686,-0.395087176844456
AU,Australia,1992,1.01223112610711,0.413780383815748
AU,Australia,1993,1.75365344467641,4.03356714084148
AU,Australia,1994,1.96963479688142,3.9804736671948
AU,Australia,1995,4.62776659959758,3.83383058905508
AU,Australia,1996,2.61538461538462,3.85441996283515
AU,Australia,1997,0.224887556221881,3.90829089340106
AU,Australia,1998,0.860134629768157,4.61401157561838
AU,Australia,1999,1.48312940304038,4.9366749281626
AU,Australia,2000,4.45743514797225,3.91242773271188
AU,Australia,2001,4.4071353620147,2.0383007317353
AU,Australia,2002,2.98157453936349,4.01452665375521
AU,Australia,2003,2.73259596616783,3.11032510902798
AU,Australia,2004,2.34325522482587,4.20544688686265
AU,Australia,2005,2.69183168316831,3.16033832510615
AU,Australia,2006,3.55528773727028,2.72689344585038
AU,Australia,2007,2.32761128891476,3.7684875158189
AU,Australia,2008,4.35029854990047,3.57701487814776
AU,Australia,2009,1.77111716621252,1.8668320701176
AU,Australia,2010,2.91834002677376,2.17233709101625
AU,Australia,2011,3.30385015608744,2.46974629381731
AU,Australia,2012,1.76278015613193,3.91736246328504
AU,Australia,2013,2.44988864142539,2.60021188065653
AU,Australia,2014,2.48792270531403,2.56293152083389
AU,Australia,2015,1.50836672165921,2.17220475337416
AU,Australia,2016,1.27699094497328,2.74164306864724
AU,Australia,2017,1.94864740944522,2.29592694694063
AU,Australia,2018,1.91140094445692,2.87097248021668
AU,Australia,2019,1.61076787290379,2.11314942462376
