_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3629412,36266,BP-35342,110,St George St,St George St,West,Hoskin Ave,South,NA,11,NA,Ring,Existing,0,312999.585,4835955.108,-79.398331309,43.663495704,"c(-79.3983313104502, 43.6634957083305)"
3629413,36267,BP-35651,189,The Esplanade,Lower Sherbourne St,East,Scadding Ave,North,NA,10,St. Lawrence Market Neighbourhood,Ring,Existing,0,315523.169,4834331.385,-79.367073084,43.648847931,"c(-79.3670730836643, 43.648847933284)"
3629414,36269,BP-33648,921,Danforth Ave,Danforth Ave,South,Euston Ave,West,NA,14,THE DANNY Danforth Mosaic,Ring,Existing,0,317820.444,4837806.871,-79.338511791,43.68009517,"c(-79.3385117871058, 43.6800951759163)"
3629415,36270,BP-35601,10,Bay St,Bay St,West,Queens Quay W,North,NA,10,The Waterfront,Ring,Existing,0,314706.928,4833510.793,-79.377206424,43.641472813,"c(-79.3772064211787, 43.6414728162565)"
3629416,36271,BP-35801,51,Donlands Ave,Donlands Ave,East,Strathmore Blvd,North,NA,14,NA,Ring,Existing,0,317893.613,4837956.64,-79.337600662,43.681442004,"c(-79.3376006638351, 43.6814420025507)"
3629417,36272,BP-36586,665,Yonge St,Yonge St,East,Charles St E,South,NA,13,NA,Ring,Existing,0,314000.522,4836501.013,-79.385911156,43.668397858,"c(-79.385911161012, 43.668397861518)"
3629418,36273,BP-44374,113,Spadina Ave,Adelaide St W,South,Spadina Ave,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313251.704,4834094.61,-79.395234344,43.646745911,"c(-79.3952343479348, 43.6467459125597)"
3629419,36274,BP-35858,1120,Dundas St E,Dundas St E,North,Logan Ave,East,NA,14,NA,Ring,Existing,0,317427.553,4836028.457,-79.34342629,43.66409393,"c(-79.3434262868978, 43.6640939300476)"
3629420,36277,BP-20992,573,Christie St,Christie St,East,Ln N Tyrrel W Christie,North,NA,12,NA,Ring,Existing,0,310878.511,4837703.526,-79.424611306,43.679254138,"c(-79.4246113100308, 43.679254144055)"
3629421,36308,BP-05161,194,Wellesley St E,NA,NA,Wellesley St E,NA,NA,13,NA,NA,Existing,0,314910.356,4836393.906,-79.374631022,43.66742194,"c(-79.3746310174666, 43.6674219411338)"
3629422,36319,BP-19719,33,Phoebe St,Phoebe St,South,Spadina Ave,East,NA,10,NA,Ring,Existing,0,313173.367,4834472.309,-79.396199543,43.650146595,"c(-79.3961995417975, 43.6501465990915)"
3629423,36320,BP-19742,30,Nelson St,Nelson St,North,Duncan St,West,NA,10,Toronto Entertainment District,Ring,Existing,0,313736.76,4834322.665,-79.389217929,43.648793046,"c(-79.3892179277362, 43.6487930466583)"
3629424,36321,BP-19653,98,The Esplanade,The Esplanade,North,Market St,West,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315085.859,4834202.986,-79.372496513,43.647698341,"c(-79.3724965122195, 43.6476983449553)"
3629425,36325,BP-13977,1431,Bathurst St,NA,NA,Melgund Rd,NA,NA,12,NA,NA,Existing,0,311443.801,4838016.011,-79.417596459,43.682062072,"c(-79.4175964620545, 43.6820620777594)"
3629426,36331,BP-19303,976,College St,College St,North,Rusholme Rd,East,NA,09,College Promenade,Ring,Existing,0,310618.721,4834827.663,-79.427864353,43.653369636,"c(-79.4278643567759, 43.6533696346549)"
3629427,36334,BP-19139,886,Kingston Rd,Kingston Rd,North,Pickering St,West,NA,19,NA,Ring,Existing,0,321713.398,4837844.173,-79.29022789,43.680352536,"c(-79.2902278929467, 43.6803525336729)"
3629428,36335,BP-45032,185,Davenport Rd,Davenport Rd,West,New St,North,NA,11,NA,Ring,Existing,0,313369.806,4837236.215,-79.393720515,43.675023183,"c(-79.3937205105374, 43.6750231823521)"
3629429,36336,BP-44016,581,Euclid Ave,Harbord St,North,Euclid Ave,West,NA,11,NA,Rack,Existing,0,311765.922,4835651.497,-79.413631701,43.660775387,"c(-79.4136317033865, 43.6607753858501)"
3629430,36337,BP-18188,519,Church St,Church St,East,Monteith St,South,NA,13,Church-Wellesley Village,Ring,Existing,0,314387.593,4836278.187,-79.381115344,43.666387241,"c(-79.3811153496734, 43.6663872433411)"
3629431,36339,BP-25918,371,Bloor St W,Bloor St W,South,Huron St,West,NA,11,NA,Ring,Existing,0,312694.235,4836338.062,-79.402111811,43.666946102,"c(-79.4021118141823, 43.6669461062433)"
3629432,36340,BP-36405,1132,Dupont St,Dupont St,North,Gladstone Ave,East,NA,09,NA,Ring,Existing,0,309806.326,4836530.262,-79.437919962,43.668701216,"c(-79.4379199560278, 43.6687012173787)"
3629433,36342,BP-18689,2872,Danforth Ave,Danforth Ave,North,Kelvin Ave,East,NA,19,Danforth Village,Ring,Existing,0,321360.38,4838903.145,-79.294573726,43.689892552,"c(-79.2945737224408, 43.6898925546779)"
3629434,36343,BP-45132,2,Du Maurier Blvd,Yonge St,East,Du Maurier Blvd,North,NA,15,Yonge Lawrence Village,Ring,Existing,0,312672.405,4842882.615,-79.402286899,43.72585566,"c(-79.4022868943463, 43.7258556620221)"
3629435,36344,BP-33630,1326,Danforth Ave,Danforth Ave,North,Lamb Ave,North,NA,14,THE DANNY Danforth Mosaic,Ring,Existing,0,318558.186,4838042.482,-79.329355849,43.682202684,"c(-79.3293558479012, 43.6822026822751)"
3629436,36345,BP-26744,1500,Avenue Rd,Avenue Rd,West,Glengarry Ave,South,NA,08,NA,Ring,Existing,0,311570.73,4842544.005,-79.415965249,43.722818621,"c(-79.4159652434565, 43.7228186255038)"
3629437,36347,BP-21909,1204,King St W,Dufferin St,West,Ln N King W Dufferin,North,NA,04,NA,Ring,Existing,0,310640.286,4833264.508,-79.427613912,43.639298941,"c(-79.4276139101094, 43.6392989439502)"
3629438,36348,BP-35999,288,King St E,King St E,North,Berkeley St,West,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315678.796,4834685.396,-79.365136774,43.652032244,"c(-79.3651367701526, 43.6520322457815)"
3629439,36350,BP-21516,2340,Dundas St W,Dundas St W,East,Bloor St W,North,NA,04,NA,Ring,Existing,0,308645.851,4835188.922,-79.452319773,43.656634266,"c(-79.4523197680427, 43.65663427086)"
3629440,36351,BP-34286,963-965,O'Connor Dr,O'Connor Dr,East,Gardens Cres,East,NA,19,NA,Ring,Existing,0,320072.595,4840960.603,-79.310489882,43.708439805,"c(-79.3104898776286, 43.7084398092707)"
3629441,36352,BP-34229,1221,Bay St,Cumberland St,South,Bay St,East,NA,11,Bloor Street,Ring,Existing,0,313709.979,4836744.511,-79.389509939,43.670593204,"c(-79.389509941645, 43.6705932025396)"
