_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3613143,4,BP-11699,70,The Pond Rd,NA,NA,Seneca Lane,NA,NA,07,NA,Rack,Existing,0,304813.343,4847867.805,-79.499834262,43.770770154,"c(-79.4998342614142, 43.7707701519576)"
3613144,9,BP-11900,8,Assiniboine Rd,NA,NA,Nelson Rd,NA,NA,07,NA,Rack,Existing,0,304460.91,4847578.496,-79.504211783,43.768165951,"c(-79.504211785859, 43.768165954106)"
3613145,56,BP-11338,1495,Queen St W,NA,NA,Dowling Ave,NA,NA,04,Parkdale Village,NA,Existing,0,309620.471,4833320.486,-79.440253273,43.639810126,"c(-79.4402532672444, 43.6398101276477)"
3613146,65,BP-03501,8,Kensington Ave,NA,NA,Kensington Ave,NA,NA,11,Kensington Market,Ring,Existing,0,312856.125,4834795.334,-79.400127413,43.653057756,"c(-79.4001274086522, 43.6530577620828)"
3613147,100,BP-03280,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,NA,11,Bloor-Yorkville,Ring,Existing,0,313240.819,4836897.969,-79.395325446,43.671979996,"c(-79.3953254478664, 43.6719800014078)"
3613148,109,BP-12883,21,Canniff St,NA,NA,Strachan Ave,NA,NA,10,NA,Ring,Existing,0,311940.672,4833504.872,-79.411493409,43.641451209,"c(-79.4114934143378, 43.6414512066734)"
3613149,187,BP-08045,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314505.596,4833307.513,-79.379705516,43.639645676,"c(-79.379705519852, 43.6396456736644)"
3613150,188,BP-07766,162,Mc Caul St,NA,NA,Mc Caul St,NA,NA,11,NA,Ring,Existing,0,313505.863,4835081.661,-79.392067935,43.655627766,"c(-79.3920679390701, 43.6556277674895)"
3613151,198,BP-14494,1246,Bloor St W,NA,NA,Margueretta St,NA,NA,09,Bloordale Village,NA,Existing,0,309633.259,4835449.198,-79.440075726,43.658971338,"c(-79.440075721153, 43.6589713433798)"
3613152,213,BP-11634,8,Assiniboine Rd,NA,NA,Scholars Walk,NA,NA,07,NA,Rack,Existing,0,304515.293,4847629.273,-79.503536333,43.768623027,"c(-79.5035363297291, 43.76862302965)"
3613153,218,BP-08338,50,Western Battery Rd,NA,NA,Pirandello St,East,NA,10,NA,NA,Existing,0,311736.367,4833336.57,-79.414027868,43.639938191,"c(-79.4140278736865, 43.6399381912054)"
3613154,237,BP-14805,359,King St E,NA,NA,Derby St,NA,NA,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315707.043,4834678.549,-79.364786738,43.651970194,"c(-79.3647867344514, 43.6519701999956)"
3613155,277,BP-15966,87,Avenue Rd,Avenue Rd,East,Elgin Ave,North,NA,11,NA,Ring,Existing,0,313239.951,4836900.226,-79.395336177,43.672000328,"c(-79.3953361766065, 43.6720003272253)"
3613156,297,BP-13787,147,Baldwin St,NA,NA,Spadina Ave,NA,NA,11,Kensington Market,NA,Existing,0,312876.928,4834998.675,-79.399866469,43.654887872,"c(-79.3998664709892, 43.6548878783334)"
3613157,319,BP-13385,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314511.625,4833301.306,-79.379630906,43.639589724,"c(-79.3796309060618, 43.6395897235757)"
3613158,338,BP-15331,911,Davenport Rd,NA,NA,Davenport Rd,NA,NA,12,NA,NA,Existing,0,310973.155,4837275.766,-79.423442381,43.675402964,"c(-79.4234423850333, 43.675402963235)"
3613159,341,BP-08916,20,Lombard St,NA,NA,Lombard St,NA,NA,13,St. Lawrence Market Neighbourhood,NA,Existing,0,314695.814,4834615.514,-79.377323943,43.651416936,"c(-79.3773239406763, 43.6514169410561)"
3613160,362,BP-01939,888,Yonge St,Davenport Rd,North,Yonge St,West,NA,11,Bloor-Yorkville,Ring,Existing,0,313809.734,4837004.765,-79.388268569,43.672934626,"c(-79.3882685653393, 43.6729346272009)"
3613161,373,BP-03939,50,Blue Jays Way,NA,NA,Mercer St,NA,NA,10,Toronto Entertainment District,Ring,Temporarily Removed,0,313503.184,4833936.254,-79.392119608,43.645317591,"c(-79.3921196078987, 43.6453175950649)"
3613162,387,BP-05924,1313,Bloor St W,NA,NA,St Helens Ave,NA,NA,09,Bloordale Village,Ring,Temporarily Removed,0,309323.837,4835314.509,-79.443913155,43.657760903,"c(-79.4439131599396, 43.6577609079604)"
3613163,454,BP-03606,794,Mount Pleasant Rd,NA,NA,Brownlow Ave,NA,NA,12,Mount Pleasant Village,Ring,Temporarily Removed,0,313582.386,4840915.299,-79.391024235,43.70813716,"c(-79.3910242321784, 43.7081371656379)"
3613164,462,BP-11260,125,Bathurst St,NA,NA,Bathurst St,NA,NA,10,NA,NA,Existing,0,312660.375,4833952.309,-79.402566409,43.645471489,"c(-79.4025664048428, 43.6454714933524)"
3613165,476,BP-12372,77,Cottingham St,NA,NA,Gange Ave,NA,NA,12,NA,NA,Existing,0,313270.708,4837798.779,-79.394940651,43.680088125,"c(-79.3949406497376, 43.6800881275002)"
3613166,487,BP-14382,520,Parliament St,NA,NA,Winchester St,NA,NA,13,Cabbagetown,NA,Existing,0,315383.202,4836237.247,-79.368770789,43.666005219,"c(-79.3687707873544, 43.6660052238324)"
3613167,504,BP-13141,78,Dewson St,NA,NA,Dovercourt Rd,NA,NA,09,NA,NA,Existing,0,310678.728,4835153.174,-79.427116891,43.656299202,"c(-79.4271168971538, 43.6562992002602)"
3613168,541,BP-06263,105,Victoria St,NA,NA,Victoria St,NA,NA,13,St. Lawrence Market Neighbourhood,NA,Existing,0,314682.936,4834690.252,-79.377482216,43.652089849,"c(-79.3774822182661, 43.6520898543049)"
3613169,549,BP-15776,131,Dunn Ave,Dunn Ave,East,King St W,South,NA,04,NA,Ring,Existing,0,310251.081,4832871.742,-79.432441779,43.63576646,"c(-79.4324417802216, 43.6357664624931)"
3613170,551,BP-15128,180,Elizabeth St,NA,NA,Walton St,NA,NA,11,NA,NA,Existing,0,313981.912,4835276.292,-79.386162758,43.657373977,"c(-79.3861627617275, 43.6573739813884)"
3613171,553,BP-03697,1556,Queen St W,NA,NA,Dowling Ave,NA,NA,04,Parkdale Village,NA,Existing,0,309638.509,4833339.522,-79.440029524,43.639981363,"c(-79.440029527172, 43.6399813607182)"
3613172,554,BP-13734,46,Wellesley St E,NA,NA,Wellesley St E,NA,NA,13,NA,Ring,Temporarily Removed,0,314276.222,4836170.871,-79.382498213,43.665422683,"c(-79.3824982139743, 43.6654226857923)"
3613173,576,BP-11207,59,Spadina Rd,NA,NA,Lowther Ave,NA,NA,11,NA,NA,Existing,0,312471.955,4836619.942,-79.40486406,43.66948572,"c(-79.404864065784, 43.6694857255314)"
3613174,656,BP-11863,55,Bloor St W,NA,NA,Bay St,NA,NA,11,Bloor Street,Ring,Temporarily Removed,0,313762.07,4836651.849,-79.388865521,43.669758494,"c(-79.3888655165082, 43.6697584966765)"
3613175,698,BP-16615,230,College St,NA,NA,College St,NA,NA,11,NA,Ring,Existing,0,313035.623,4835389.384,-79.397893094,43.658403037,"c(-79.3978930973514, 43.6584030414659)"
3613176,762,BP-07881,7,King St E,NA,NA,Victoria St,NA,NA,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,314702.293,4834372.234,-79.377248088,43.649227003,"c(-79.3772480821794, 43.6492270086673)"
3613177,817,BP-14256,2980,Bloor St W,NA,NA,Willingdon Blvd,NA,NA,03,The Kingsway,NA,Existing,0,304032.946,4834215.619,-79.509508426,43.647882767,"c(-79.5095084293383, 43.6478827699972)"
3613178,834,BP-04047,585,King St W,NA,NA,Portland St,NA,NA,10,NA,NA,Existing,0,312872.24,4833824.959,-79.399942135,43.644322904,"c(-79.3999421302424, 43.6443229021368)"
3613179,857,BP-10113,3080,Yonge St,Yonge St,West,Lawrence Ave W,North,NA,08,Yonge Lawrence Village,Ring,Existing,0,312658.225,4842850.387,-79.402463372,43.725565723,"c(-79.4024633684085, 43.7255657207323)"
3613180,934,BP-16307,2,Sussex Ave,NA,NA,Sussex Ave,NA,NA,11,NA,NA,Existing,0,312934.101,4836192.458,-79.399139688,43.66563289,"c(-79.3991396846895, 43.665632892056)"
3613181,936,BP-06106,167,King St E,King St E,South,Jarvis St,East,NA,13,St. Lawrence Market Neighbourhood,Ring,Temporarily Removed,0,315167.671,4834512.046,-79.371476442,43.650479165,"c(-79.371476441568, 43.650479163672)"
3613182,941,BP-16825,251,Sorauren Ave,NA,NA,Fermanagh Ave,NA,NA,04,NA,Rack,Existing,0,309345.384,4834134.955,-79.443655942,43.647143195,"c(-79.4436559460241, 43.6471431938427)"
3613183,966,BP-12471,8,Assiniboine Rd,NA,NA,Kidd Ter,NA,NA,07,NA,NA,Existing,0,304413.795,4847547.252,-79.504796967,43.767884692,"c(-79.5047969717063, 43.7678846983223)"
3613184,983,BP-13362,1229,Queen St W,NA,NA,Noble St,NA,NA,04,Parkdale Village,NA,Existing,0,310475.475,4833547.212,-79.42965365,43.641844939,"c(-79.4296536518803, 43.6418449424608)"
3613185,999,BP-11369,563,Crawford St,NA,NA,Crawford St,NA,NA,11,NA,NA,Existing,0,311220.504,4835484.363,-79.420396146,43.659275864,"c(-79.420396152179, 43.6592758656065)"
3613186,1031,BP-03347,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314508.443,4833304.668,-79.379670287,43.639620028,"c(-79.3796702843428, 43.6396200276626)"
3613187,1168,BP-06757,1229,Queen St W,NA,NA,Noble St,NA,NA,04,Parkdale Village,NA,Existing,0,310478.627,4833547.279,-79.429614589,43.641845519,"c(-79.429614582812, 43.6418455215046)"
3613188,1213,BP-14485,433,Royal York Rd,NA,NA,Algoma St,NA,NA,03,NA,NA,Existing,0,304780.825,4831216.874,-79.500237586,43.620890302,"c(-79.5002375876335, 43.620890302139)"
3613189,1231,BP-19323,1256,Bay St,Bay St,West,Yorkville Ave,South,NA,11,Bloor-Yorkville,Ring,Existing,0,313657.346,4836797.359,-79.390161764,43.671069531,"c(-79.3901617594675, 43.6710695328989)"
3613190,1232,BP-19328,1000,College St,College St,North,Rusholme Rd,West,NA,09,College Promenade,Ring,Existing,0,310554.223,4834808.279,-79.428664157,43.653195652,"c(-79.4286641550281, 43.6531956542582)"
3613191,1233,BP-19324,1262,Bay St,Bay St,West,Yorkville Ave,South,NA,11,Bloor-Yorkville,Ring,Existing,0,313660.441,4836787.375,-79.390123544,43.670979628,"c(-79.3901235429883, 43.670979626914)"
3613192,1234,BP-19329,998,College St,College St,North,Rusholme Rd,West,NA,09,College Promenade,Ring,Existing,0,310566.379,4834812.026,-79.428513414,43.653229284,"c(-79.4285134156358, 43.6532292881758)"
3613193,1235,BP-19330,998,College St,College St,North,Rusholme Rd,West,NA,09,College Promenade,Ring,Existing,0,310563.914,4834811.406,-79.428543984,43.653223723,"c(-79.4285439811695, 43.6532237264448)"
3613194,1236,BP-19331,924,College St,College St,North,Dovercourt Rd,East,NA,09,College Promenade,Ring,Existing,0,310792.381,4834877.634,-79.425710915,43.65381806,"c(-79.4257109124221, 43.653818062247)"
3613195,1237,BP-19332,924,College St,College St,North,Dovercourt Rd,East,NA,09,College Promenade,Ring,Existing,0,310794.979,4834878.362,-79.425678691,43.653824596,"c(-79.4256786962936, 43.6538245942932)"
3613196,1238,BP-19382,3042,Yonge St,Yonge St,West,Lawrence Ave W,South,NA,08,NA,Ring,Existing,0,312672.442,4842775.492,-79.402288006,43.724891424,"c(-79.402288002422, 43.7248914229068)"
3613197,1239,BP-19383,3042,Yonge St,Yonge St,West,Lawrence Ave W,South,NA,08,NA,Ring,Existing,0,312672.897,4842772.978,-79.402282396,43.724868787,"c(-79.4022823917973, 43.7248687889856)"
3613198,1240,BP-19388,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312970.85,4840841.388,-79.39861355,43.707478856,"c(-79.3986135532037, 43.7074788562881)"
3613199,1241,BP-19385,2340,Yonge St,Yonge St,West,Roehampton Ave,South,NA,08,NA,Ring,Existing,0,312967.879,4840867.991,-79.398650016,43.707718346,"c(-79.3986500147709, 43.7077183494139)"
3613200,1242,BP-19386,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312970.423,4840846.091,-79.398618778,43.707521188,"c(-79.3986187801956, 43.7075211938987)"
3613201,1243,BP-19389,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312971.484,4840835.988,-79.398605768,43.707430242,"c(-79.39860576828, 43.7074302425225)"
3613202,1244,BP-19387,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312970.674,4840843.613,-79.3986157,43.70749888,"c(-79.3986157033068, 43.7074988860218)"
3613203,1245,BP-19390,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312971.692,4840833.773,-79.398603224,43.707410302,"c(-79.398603220966, 43.7074103024488)"
3613204,1246,BP-19391,2340,Yonge St,Yonge St,West,Eglinton Ave W,North,NA,08,NA,Ring,Existing,0,312972.216,4840829.789,-79.398596774,43.707374437,"c(-79.3985967794823, 43.7073744356728)"
3613205,1253,BP-19347,93,Harbord St,Harbord St,South,Robert St,East,NA,11,Harbord Street,Ring,Existing,0,312576.433,4835865.223,-79.403579361,43.662691172,"c(-79.4035793645161, 43.6626911699198)"
3613206,1254,BP-19348,410,College St,College St,North,Lippincott St,East,NA,11,NA,Ring,Existing,0,312352.888,4835214.808,-79.406360208,43.656838872,"c(-79.4063602129288, 43.6568388712901)"
3613207,1255,BP-19349,142,Bathurst St,Bathurst St,West,Portugal Sq,North,NA,10,NA,Ring,Existing,0,312582.798,4833975.046,-79.403527681,43.645676972,"c(-79.4035276847938, 43.645676972736)"
3613208,1256,BP-19350,142,Bathurst St,Bathurst St,West,Portugal Sq,North,NA,10,NA,Ring,Existing,0,312582.152,4833977.247,-79.403535656,43.64569679,"c(-79.4035356606257, 43.6456967914778)"
3613209,1257,BP-19351,82,Bathurst St,Bathurst St,West,King St W,South,NA,10,NA,Ring,Existing,0,312664.895,4833698.698,-79.402514063,43.643188596,"c(-79.4025140686819, 43.643188602226)"
3613210,1268,BP-19445,30,Nelson St,Nelson St,North,Duncan St,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313796.587,4834337.33,-79.388476056,43.648924326,"c(-79.3884760560277, 43.6489243302977)"
3613211,1269,BP-19446,30,Nelson St,Nelson St,North,Duncan St,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313797.536,4834337.666,-79.388464286,43.648927342,"c(-79.3884642864116, 43.6489273432727)"
3613212,1270,BP-19447,30,Nelson St,Nelson St,North,Duncan St,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313805.592,4834339.721,-79.388364389,43.648945738,"c(-79.3883643881417, 43.6489457435606)"
3613213,1271,BP-19448,30,Nelson St,Nelson St,North,Duncan St,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313806.607,4834340.021,-79.388351805,43.648948431,"c(-79.3883518009649, 43.6489484316766)"
3613214,1273,BP-19449,30,Nelson St,Nelson St,North,Duncan St,East,NA,10,Toronto Entertainment District,Ring,Existing,0,313807.418,4834340.262,-79.388341738,43.648950586,"c(-79.3883417436021, 43.6489505911819)"
3613215,1274,BP-19359,42,Pardee Ave,Pardee Ave,West,Liberty St,South,NA,10,Liberty Village,Ring,Existing,0,311023.237,4833080.951,-79.422869635,43.637643569,"c(-79.4228696291187, 43.6376435751504)"
3613216,1275,BP-19421,100,Richmond St W,York St,East,Queen St W,South,NA,10,Financial District,Ring,Existing,0,314096.216,4834574.501,-79.3847577,43.651055502,"c(-79.384757705477, 43.6510555040775)"
3613217,1276,BP-19422,100,Richmond St W,York St,East,Queen St W,South,NA,10,Financial District,Ring,Existing,0,314097.001,4834571.624,-79.384748029,43.651029599,"c(-79.3847480236166, 43.6510295974058)"
3613218,1277,BP-19424,145,Richmond St W,University Ave,East,Richmond St W,NA,NA,10,Financial District,Ring,Existing,0,314004.921,4834447.05,-79.385891629,43.649909407,"c(-79.3858916309097, 43.6499094092062)"
3613219,1278,BP-19425,145,Richmond St W,Richmond St W,South,University Ave,East,NA,10,Financial District,Ring,Existing,0,314007.018,4834468.476,-79.385865273,43.650102243,"c(-79.3858652703906, 43.6501022460519)"
3613220,1279,BP-19417,254,Queen St W,Queen St W,North,John St,West,NA,10,Queen Street West,Ring,Existing,0,313572.089,4834444.601,-79.391257242,43.649892593,"c(-79.3912572423987, 43.649892594843)"
3613221,1294,BP-19354,1351,Dufferin St,Dufferin St,East,Geary Ave,North,NA,09,NA,Ring,Existing,0,309683.817,4836637.448,-79.439438135,43.669666849,"c(-79.4394381358937, 43.6696668484831)"
3613222,1295,BP-19464,1729,Bloor St W,Bloor St W,South,Keele St,East,NA,04,Bloor By The Park,Ring,Existing,0,308058.975,4834974.424,-79.459597057,43.654706296,"c(-79.4595970533304, 43.6547063023785)"
3613223,1296,BP-19355,1351,Dufferin St,Dufferin St,East,Geary Ave,North,NA,09,NA,Ring,Existing,0,309681.801,4836643.446,-79.439463084,43.669720847,"c(-79.4394630810622, 43.6697208516768)"
3613224,1297,BP-19463,1729,Bloor St W,Bloor St W,South,Keele St,East,NA,04,Bloor By The Park,Ring,Existing,0,308056.374,4834973.653,-79.459629298,43.654699375,"c(-79.4596293037128, 43.6546993737282)"
3613225,1299,BP-19333,499,King St W,King St W,South,Brant St,East,NA,10,NA,Ring,Existing,0,313077.024,4833891.251,-79.397402754,43.644917372,"c(-79.3974027587069, 43.644917370095)"
3613226,1300,BP-19335,36,Blue Jays Way,Blue Jays Way,West,Wellington St W,North,NA,10,Toronto Entertainment District,Ring,Existing,0,313517.971,4833891.674,-79.39193703,43.644916137,"c(-79.3919370351618, 43.6449161416017)"
3613227,1301,BP-19336,36,Blue Jays Way,Blue Jays Way,West,Wellington St W,North,NA,10,Toronto Entertainment District,Ring,Existing,0,313517.736,4833892.887,-79.391939926,43.644927061,"c(-79.39193992851, 43.6449270629975)"
3613228,1302,BP-19334,36,Blue Jays Way,Blue Jays Way,West,Wellington St W,North,NA,10,Toronto Entertainment District,Ring,Existing,0,313518.426,4833890.186,-79.39193142,43.644902739,"c(-79.3919314192637, 43.6449027422555)"
3613229,1303,BP-19337,1075,Queen St E,Queen St E,South,Winnifred Ave,West,NA,14,Leslieville,Ring,Existing,0,317989.597,4835774.14,-79.336463532,43.661794985,"c(-79.3364635363446, 43.6617949874476)"
3613230,1304,BP-19338,1075,Queen St E,Queen St E,South,Winnifred Ave,West,NA,14,Leslieville,Ring,Existing,0,317988.196,4835773.559,-79.336480917,43.661789784,"c(-79.3364809213245, 43.6617897825378)"
3613231,1305,BP-19339,1075,Queen St E,Queen St E,South,Winnifred Ave,West,NA,14,Leslieville,Ring,Existing,0,317982.052,4835771.383,-79.336557152,43.661770307,"c(-79.3365571529753, 43.6617703046387)"
3613232,1306,BP-19341,1075,Queen St E,Queen St E,South,Winnifred Ave,West,NA,14,Leslieville,Ring,Existing,0,317971.447,4835767.919,-79.336688732,43.661739311,"c(-79.3366887272236, 43.6617393120382)"
3613233,1307,BP-19345,169,Harbord St,Harbord St,South,Borden St,West,NA,11,NA,Ring,Existing,0,312270.159,4835779.502,-79.407378062,43.661922703,"c(-79.4073780624049, 43.6619227068913)"
3613234,1308,BP-14326,145,Queens Quay W,NA,NA,York St,NA,NA,10,The Waterfront,NA,Existing,0,314518.522,4833292.28,-79.379545581,43.639508386,"c(-79.3795455848565, 43.6395083872729)"
3613235,1318,BP-15552,61,Hanna Ave,NA,NA,Hanna Ave,NA,NA,10,Liberty Village,NA,Existing,0,311439.283,4833307.608,-79.417710402,43.639680199,"c(-79.4177104044083, 43.6396802034376)"
3613236,1338,BP-13552,258,Christie St,NA,NA,Melville Ave,NA,NA,11,NA,NA,Existing,0,311145.96,4836770.955,-79.421305252,43.670857546,"c(-79.4213052490473, 43.6708575441072)"
3613237,1359,BP-08567,409,Bloor St E,NA,NA,Bloor St E,NA,NA,13,NA,Ring,Temporarily Removed,0,314678.971,4836916.634,-79.377490625,43.672130284,"c(-79.3774906279696, 43.6721302886153)"
3613238,1366,BP-03998,69,Queen St E,NA,NA,Berti St,NA,NA,13,NA,NA,Existing,0,314787.308,4834790.494,-79.376186472,43.652990768,"c(-79.3761864781672, 43.6529907722601)"
3613239,1382,BP-13431,1862,Eglinton Ave W,NA,NA,Shortt St,NA,NA,08,Fairbank Village,Ring,Temporarily Removed,0,308715.868,4839509.23,-79.451420351,43.695522363,"c(-79.4514203468189, 43.6955223692849)"
3613240,1384,BP-07798,102,Atlantic Ave,NA,NA,Hanna Ave,NA,NA,10,Liberty Village,NA,Existing,0,311175.414,4833245.989,-79.420981611,43.639127857,"c(-79.420981612841, 43.6391278554393)"
3613241,1409,BP-19515,55,Halton St,Ossington Ave,East,Halton St,South,NA,10,Ossington Avenue,Ring,Existing,0,311243.998,4834221.356,-79.420119932,43.647906898,"c(-79.4201199352259, 43.6479068975272)"
3613242,1410,BP-19516,55,Halton St,Ossington Ave,East,Halton St,South,NA,10,Ossington Avenue,Ring,Existing,0,311244.713,4834218.904,-79.420111097,43.647884818,"c(-79.420111101317, 43.6478848200075)"
3613243,1411,BP-19517,55,Halton St,Ossington Ave,East,Halton St,South,NA,10,Ossington Avenue,Ring,Existing,0,311245.332,4834216.749,-79.420103454,43.647865416,"c(-79.4201034538891, 43.6478654167217)"
3613244,1412,BP-19518,55,Halton St,Ossington Ave,East,Halton St,South,NA,10,Ossington Avenue,Ring,Existing,0,311245.929,4834214.671,-79.420096081,43.647846701,"c(-79.4200960782596, 43.6478467067303)"
3613245,1413,BP-19520,176,Bellwoods Ave,Dundas St W,South,Bellwoods Ave,West,NA,10,Trinity-Bellwoods,Ring,Existing,0,311825.632,4834546.988,-79.412905744,43.650832755,"c(-79.4129057488118, 43.6508327605046)"
3613246,1414,BP-19521,176,Bellwoods Ave,Dundas St W,South,Bellwoods Ave,West,NA,10,Trinity-Bellwoods,Ring,Existing,0,311823.449,4834546.341,-79.41293282,43.650826955,"c(-79.4129328190655, 43.6508269572457)"
3613247,1415,BP-19522,176,Bellwoods Ave,Dundas St W,South,Bellwoods Ave,West,NA,10,Trinity-Bellwoods,Ring,Existing,0,311821.495,4834545.762,-79.412957048,43.650821765,"c(-79.4129570496026, 43.6508217639106)"
3613248,1416,BP-19523,866,Dundas St W,Dundas St W,North,Manning Ave,East,NA,11,Trinity-Bellwoods,Ring,Temporarily Removed,0,311999.614,4834611.104,-79.410748105,43.651408228,"c(-79.4107481039949, 43.6514082274545)"
3613249,1417,BP-19524,862,Dundas St W,Dundas St W,North,Manning Ave,East,NA,11,Trinity-Bellwoods,Ring,Temporarily Removed,0,312002.027,4834611.819,-79.410718175,43.651414639,"c(-79.4107181811118, 43.65141464006)"
3613250,1418,BP-19525,862,Dundas St W,Dundas St W,North,Manning Ave,East,NA,11,Trinity-Bellwoods,Ring,Existing,0,312004.211,4834612.466,-79.410691095,43.651420439,"c(-79.4106910979849, 43.6514204427838)"
3613251,1419,BP-19526,858,Dundas St W,Dundas St W,North,Manning Ave,East,NA,11,Trinity-Bellwoods,Ring,Existing,0,312006.246,4834613.193,-79.41066586,43.651426969,"c(-79.4106658609012, 43.6514269670526)"
3613252,1421,BP-19530,85,Richmond St W,Richmond St W,South,Sheppard St,West,NA,10,Financial District,Ring,Existing,0,314249.77,4834542.982,-79.382854699,43.650769852,"c(-79.3828546996867, 43.6507698559471)"
3613253,1422,BP-19663,480,Dundas St E,Dundas St E,North,Regent St,West,NA,13,NA,Ring,Existing,0,315700.874,4835543.352,-79.364845752,43.659754665,"c(-79.3648457527568, 43.6597546655059)"
3613254,1423,BP-19531,85,Richmond St W,Richmond St W,South,Sheppard St,West,NA,10,Financial District,Ring,Existing,0,314246.594,4834542.152,-79.382894084,43.650762419,"c(-79.382894085818, 43.6507624251728)"
3613255,1424,BP-19665,229,Queen St E,Sherbourne St,West,Queen St E,South,NA,13,NA,Ring,Existing,0,315327.947,4834938.869,-79.369481249,43.654318884,"c(-79.3694812539278, 43.654318889282)"
3613256,1425,BP-19532,133,Richmond St W,Richmond St W,South,York St,West,NA,10,Financial District,Ring,Existing,0,314078.91,4834489.821,-79.384973691,43.650293481,"c(-79.3849736968425, 43.650293486455)"
3613257,1426,BP-19666,229,Queen St E,Sherbourne St,West,Queen St E,South,NA,13,NA,Ring,Existing,0,315328.669,4834936.433,-79.369472351,43.654296951,"c(-79.3694723505498, 43.6542969518179)"
3613258,1427,BP-19667,229,Queen St E,Sherbourne St,West,Queen St E,South,NA,13,NA,Ring,Existing,0,315329.086,4834933.907,-79.369467231,43.65427421,"c(-79.3694672301152, 43.654274208551)"
3613259,1428,BP-19534,170,University Ave,University Ave,West,Adelaide St W,South,NA,10,Financial District,Ring,Existing,0,314002.318,4834314.546,-79.385926152,43.648716725,"c(-79.385926156124, 43.6487167271764)"
3613260,1429,BP-19535,160,Adelaide St W,Adelaide St W,North,University Ave,East,NA,10,Financial District,Ring,Existing,0,314076.068,4834351.117,-79.385011306,43.649044998,"c(-79.3850113096294, 43.649044999443)"
3613261,1430,BP-19536,160,Adelaide St W,Adelaide St W,North,University Ave,East,NA,10,Financial District,Ring,Existing,0,314077.535,4834351.516,-79.384993123,43.649048569,"c(-79.3849931174772, 43.6490485726859)"
3613262,1431,BP-19537,160,Adelaide St W,Adelaide St W,North,University Ave,East,NA,10,Financial District,Ring,Existing,0,314078.965,4834352.043,-79.384975382,43.649053296,"c(-79.3849753817856, 43.6490532985596)"
3613263,1433,BP-19541,141,Adelaide St W,York St,West,Adelaide St W,South,NA,10,Financial District,Ring,Existing,0,314155.132,4834330.794,-79.384031568,43.648861069,"c(-79.3840315644697, 43.6488610750368)"
3613264,1434,BP-19542,141,Adelaide St W,York St,West,Adelaide St W,South,NA,10,Financial District,Ring,Existing,0,314155.738,4834328.283,-79.384024101,43.64883846,"c(-79.3840240958541, 43.6488384650379)"
3613265,1435,BP-19543,279,Yonge St,Yonge St,East,Dundas Sq,South,NA,13,Downtown Yonge,Ring,Existing,0,314438.268,4835076.529,-79.380508441,43.65557007,"c(-79.380508442837, 43.6555700739902)"
3613266,1439,BP-19548,26,Wellington St E,Scott St,East,Colborne St,South,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314791.206,4834302.069,-79.376147195,43.648594239,"c(-79.376147189139, 43.6485942406206)"
3613267,1440,BP-19550,26,Wellington St E,Scott St,East,Colborne St,South,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314793.173,4834295.891,-79.376122921,43.648538605,"c(-79.3761229201923, 43.6485386039029)"
3613268,1441,BP-19552,26,Wellington St E,Scott St,East,Colborne St,South,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314795.741,4834287.684,-79.376091234,43.648464693,"c(-79.37609123876, 43.648464695379)"
3613269,1450,BP-19562,147,Lower Jarvis St,Lower Jarvis St,East,Front St E,NA,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315190.211,4834364.152,-79.371199874,43.649147607,"c(-79.3711998683731, 43.6491476050907)"
3613270,1452,BP-19565,141,Lower Jarvis St,Lower Jarvis St,East,Front St E,South,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,315194.294,4834353.485,-79.371149459,43.649051529,"c(-79.3711494596792, 43.6490515307529)"
3630059,37804,BP-25191,2494,Danforth Ave,Danforth Ave,North,Chisholm Ave,West,NA,19,Danforth Village,Ring,Existing,0,320638.311,4838678.063,-79.30353732,43.687882279,"c(-79.3035373199753, 43.6878822818124)"
