street_address,latitude,longitude,number_of_spots
392 Spadina Ave,43.655589409,-79.399306579,1
254 College St,43.658118801,-79.399430313,2
474 College St,43.656278729,-79.40908997,3
554 College St,43.65568171,-79.412050103,2
576 College St,43.655428845,-79.413104271,2
1051 Ossington Ave,43.670017189,-79.428773826,2
170 Avenue Rd,43.675454144,-79.397158328,4
348 Davenport Rd,43.675326732,-79.401657332,1
35 Prince Arthur Ave,43.669370624,-79.397067158,1
53 Scollard St,43.672274842,-79.389509839,4
86 Scollard St,43.671929701,-79.391639585,1
684 Bathurst St,43.662173477,-79.410110592,1
161 Harbord St,43.661963357,-79.407061138,1
150 Dundas St W,43.655443643,-79.385375922,4
107 Scollard St,43.671744953,-79.392163588,1
1300 Bay St,43.672113426,-79.390747203,4
316 Yonge St,43.656857036,-79.381615677,4
598-600 College St,43.65520519,-79.414202861,1
1170 Bay St,43.669030462,-79.389312138,1
1085 Bathurst St,43.672762152,-79.414096527,1
936 Bathurst St,43.668972821,-79.412816804,4
1025 Bathurst St,43.671311921,-79.413534021,1
986A Bathurst St,43.670120693,-79.413265988,1
507 Bloor St W,43.665662523,-79.408365401,3
481 Bloor St W,43.665936552,-79.407052368,2
1069 Bathurst St,43.672252631,-79.413901325,3
1075 Bathurst St,43.672579428,-79.414034195,2
1065 Bathurst St,43.672160946,-79.413866376,1
28 Ted Rogers Way,43.670757671,-79.380306671,1
162 Major St,43.662365294,-79.404838726,2
209 Harbord St,43.661534854,-79.409293126,1
75 Harbord St,43.662834711,-79.402871714,1
485 Huron St,43.668789691,-79.402079418,4
656A Spadina Ave,43.663337443,-79.402391868,4
6 Edward St,43.656950274,-79.381805085,1
621 University Ave,43.658288419,-79.389525485,7
126 Edward St,43.655843943,-79.387158798,4
67 College St,43.660476742,-79.38718571,7
11 College St,43.661210185,-79.383506342,1
475 Dupont St,43.67289704,-79.415147075,3
11 Christie St,43.664230449,-79.418616026,4
55 Belmont St,43.675068055,-79.391137941,4
98 Davenport Rd,43.673343083,-79.390858184,2
166 Spadina Rd,43.674116503,-79.406904305,1
645 Bay St,43.65756305,-79.384352315,2
125 Yorkville Ave,43.670665592,-79.393261793,1
8D Spadina Rd,43.66767062,-79.40436678,1
211 Davenport Rd,43.674890913,-79.395270699,1
231 Avenue Rd,43.676470723,-79.397159576,1
165 Avenue Rd,43.674670161,-79.396250532,3
75 Kensington Ave,43.654617251,-79.400597307,3
1219 Yonge St,43.683132434,-79.391991448,3
45A Davenport Rd,43.672857184,-79.389634372,2
366 Bloor St E,43.672190981,-79.378031054,2
934 Manning Ave,43.671976649,-79.419309914,1
612 Bloor St W,43.664748366,-79.413710103,1
968 Bathurst St,43.669620144,-79.413145925,5
994 Bathurst St,43.670332611,-79.413497611,1
28 McMurrich St,43.673787957,-79.389906833,1
111 Spadina Rd,43.671150723,-79.405512411,1
75A Spadina Rd,43.669906783,-79.40501271,1
391 Brunswick Ave,43.66908043,-79.408595086,2
188 Lowther Ave,43.668319393,-79.407142577,1
10 Spadina Rd,43.667759843,-79.404388665,4
5 Walmer Rd,43.666604431,-79.405512336,3
80 Grosvenor St,43.661960641,-79.389078429,4
73 Queen's Park Cres E,43.665976974,-79.393513559,7
152 Augusta Ave,43.652771693,-79.401398711,1
91 Bellevue Ave,43.656252956,-79.404068805,4
160 Baldwin St,43.654932144,-79.400047291,1
138 Baldwin St,43.6550933,-79.399266835,4
864 Bloor St W,43.662351454,-79.424618857,3
805 College St,43.654542284,-79.421644758,4
100 Walton St,43.658014827,-79.385247498,2
23 Baldwin St,43.656027066,-79.393086772,3
29 Baldwin St,43.656007592,-79.393238172,2
94 Avenue Rd,43.672538675,-79.395831632,1
770X Bloor St W,43.662999705,-79.421296201,2
794 College St,43.654731235,-79.421374157,2
805 Bloor St W,43.662819934,-79.421487911,2
739B Ossington Ave,43.662330215,-79.42569812,1
703 College St,43.655145449,-79.418013589,2
814 Bloor St W,43.662672308,-79.422780684,2
533 College St,43.655666213,-79.411177734,1
496 Montrose Ave,43.662914881,-79.421044911,1
717 College St,43.655138585,-79.418503355,2
835 Bloor St W,43.662493535,-79.423000663,1
699 College St,43.655161475,-79.417719387,1
603 Markham St,43.664487464,-79.412157771,5
344 Harbord St,43.659538748,-79.419802764,2
732 Spadina Ave,43.665528363,-79.403249465,4
238A Dupont St,43.675196423,-79.405869585,2
180 Dundas St W,43.655124532,-79.386898478,6
170 St George St,43.667719768,-79.399998868,4
238 Davenport Rd,43.674542256,-79.397952966,3
460 Spadina Ave,43.657459676,-79.400021189,3
456 College St,43.656446685,-79.40830477,2
750 College St,43.655149701,-79.419512157,2
692 Bay St,43.657859737,-79.384733943,1
732 Bloor St W,43.663889575,-79.418466685,6
93 Christie St,43.665813934,-79.419247889,2
287 Harbord St,43.660512131,-79.414376608,2
972 Bathurst St,43.669778731,-79.413129784,2
133 Bloor St E,43.670762013,-79.383156689,4
88 Charles St E,43.669685033,-79.381389832,2
1071 Shaw St,43.670562192,-79.426376488,2
793 Dupont St,43.670585938,-79.426268189,2
3 Charles St W,43.668892035,-79.386301693,1
254 Christie St,43.67060919,-79.4212129,2
494 Bloor St W,43.665527788,-79.409957221,2
396 Dupont St,43.673897956,-79.411119155,1
125 Kendal Ave,43.674262625,-79.409111177,3
123 Spadina Rd,43.671672565,-79.405723366,2
50 Kendal Ave,43.671070581,-79.409163355,2
70 Spadina Rd,43.670625531,-79.405523041,2
527 Bloor St W,43.665419915,-79.409522619,3
493 Bloor St W,43.665764256,-79.407870698,1
1051 Bathurst St,43.671927171,-79.413771206,1
800 Bathurst St,43.665684139,-79.411524126,4
515 Bloor St W,43.665540534,-79.408945031,1
848 Bathurst St,43.666345213,-79.411782359,2
922 Bathurst St,43.668688944,-79.412708551,1
1098 Bathurst St,43.672997499,-79.414395966,3
41 Baldwin St,43.655903825,-79.393757676,3
394 Dundas St W,43.653788706,-79.394259252,3
51 Baldwin St,43.655823149,-79.394071962,1
416 College St,43.656740357,-79.406838912,2
317 College St,43.65756174,-79.401683535,2
415-417 College St,43.656525795,-79.406846859,2
1 Brunswick Ave,43.657377638,-79.403719373,6
8 Elm St,43.657820521,-79.382178193,2
1168A Bay St,43.668950668,-79.389277971,3
142 Avenue Rd,43.674527344,-79.397048664,4
176 Dupont St,43.675693983,-79.403431062,3
307 Davenport Rd,43.674428736,-79.400601593,1
369 Davenport Rd,43.675607472,-79.40244351,1
250 Davenport Rd,43.674511564,-79.398112217,3
206 St George St,43.670713266,-79.401215026,3
913 Bathurst St,43.669220875,-79.412703728,2
581 Markham St,43.663690615,-79.411883398,8
39 Queen's Park Cres E,43.664262382,-79.390786526,4
461 Bathurst St,43.655416399,-79.407173997,1
174 Davenport Rd,43.67514392,-79.394959182,1
159 Avenue Rd,43.674401871,-79.396322188,1
19 Hazelton Ave,43.671407643,-79.393256579,1
146 Davenport Rd,43.67526591,-79.394000513,1
192 Davenport Rd,43.674988045,-79.395705333,1
225 St George St,43.672109293,-79.401610818,2
36A Prince Arthur Ave,43.669395352,-79.3974179,2
31 Prince Arthur Ave,43.669423136,-79.396805448,3
48 Oxford St,43.656378887,-79.401495287,1
194 Augusta Ave,43.654325002,-79.402009503,1
90 Oxford St,43.655742086,-79.404661211,5
126 Denison Ave,43.652055798,-79.40246163,2
215 Augusta Ave,43.654085666,-79.401743386,2
69 Oxford St,43.655935747,-79.402512171,1
138 Augusta Ave,43.652265141,-79.401465007,1
243 Bloor St E,43.67108683,-79.38048054,7
609 Bloor St W,43.664644363,-79.413138298,2
642 Bloor St W,43.664379378,-79.414967905,1
719 Bloor St W,43.663537954,-79.418208075,1
688A Bloor St W,43.663921906,-79.417048556,2
678 Bloor St W,43.664010554,-79.416646153,2
135 Cumberland St,43.670051077,-79.392055429,1
259 College St,43.65793158,-79.399441707,1
393 Spadina Ave,43.656572601,-79.399292126,3
185 College St,43.658901316,-79.394502533,3
252 College St,43.658156375,-79.399248371,5
507 College St,43.655793379,-79.410511217,4
836 Dundas St W,43.65158569,-79.40985132,2
982 Dundas St W,43.650531911,-79.415066336,3
816 Dundas St W,43.6517576,-79.408984845,1
319 Ossington Ave,43.651054911,-79.42114186,5
90 College St,43.660547119,-79.387768843,4
71 Grenville St,43.661277674,-79.387138286,4
76 Grenville St,43.661326743,-79.386914334,1
85 Grenville St,43.66119877,-79.387480018,3
322 Yonge St,43.656975443,-79.381685051,2
380 Spadina Ave,43.655239267,-79.399164003,1
340 Spadina Ave,43.654146546,-79.398721513,3
404 Spadina Ave,43.65608731,-79.399498835,1
558 College St,43.65565322,-79.412192871,2
500 College St,43.656135302,-79.409832408,1
14 Clinton St,43.654096163,-79.413668641,4
159 Elm St,43.656121052,-79.389590289,1
20 Orde St,43.658149759,-79.392719082,10
74 Elm St,43.657172345,-79.385247205,1
1 Bloor St E,43.670581554,-79.386802207,7
10 Yorkville Ave,43.672051882,-79.387606499,1
862 Yonge St,43.672350095,-79.38773401,2
295 Harbord St,43.660295709,-79.415426266,2
33 Cecil St,43.656701614,-79.396217428,2
199 College St,43.658764862,-79.395127105,2
179 College St,43.658985895,-79.394102407,1
373 Spadina Ave,43.655885834,-79.399016112,2
621 College St,43.654929485,-79.414924836,1
464 College St,43.656401586,-79.408523837,1
378 College St,43.657136161,-79.405141798,6
318 Dundas St W,43.654253806,-79.392063562,2
424 College St,43.656696871,-79.407075975,2
347 Bathurst St,43.652665545,-79.406061042,1
482 Dundas St W,43.653193748,-79.397144822,1
368 College St,43.657182394,-79.404578589,1
177 Beverley St,43.655799034,-79.394257889,4
258 Augusta Ave,43.656466779,-79.40287509,2
88 Nassau St,43.655078125,-79.403271444,2
15 Asquith Ave,43.671608329,-79.385877635,1
836 Yonge St,43.671401759,-79.386853301,2
67 Scollard St,43.671985124,-79.390561061,2
1319 Bay St,43.672529147,-79.390560117,2
98 Harbord St,43.662894434,-79.403286207,3
155 Borden St,43.661989123,-79.407786643,2
29 Grace St,43.651782376,-79.414266478,2
237 Clinton St,43.660380229,-79.415662009,2
88 Oxford St,43.655789858,-79.404552551,4
564 Dundas St W,43.652545471,-79.400099533,1
608 Dundas St W,43.652237293,-79.40162741,1
79 Kensington Ave,43.654789693,-79.400454445,1
144 Baldwin St,43.655063425,-79.399417136,1
179 Baldwin St,43.654767755,-79.400565286,3
578 Dundas St W,43.652447024,-79.400577004,1
214 Augusta Ave,43.654696634,-79.40215484,1
257 Augusta Ave,43.655294236,-79.402122744,2
91 Scollard St,43.671854388,-79.391650822,2
68 Yorkville Ave,43.671563023,-79.390374068,1
141 Augusta Ave,43.652367733,-79.400978583,1
242 Bloor St W,43.668130969,-79.397257268,2
310 Bloor St W,43.667101303,-79.402197914,3
456 Bloor St W,43.665633161,-79.409124129,2
406A Bloor St W,43.665907333,-79.407798955,2
386 Bloor St W,43.666110499,-79.406833278,1
92 College St,43.66048665,-79.387960535,3
3 Madison Ave,43.66712967,-79.402653904,2
330 St George St,43.675443741,-79.403823118,2
420 Bloor St W,43.665836994,-79.408143581,1
326 1/2 Bloor St W,43.666813697,-79.403484741,2
1099 Yonge St,43.680033546,-79.39069793,1
1068 Yonge St,43.677646728,-79.38991302,2
1091 Yonge St,43.679609583,-79.39052337,1
1097 Yonge St,43.680019805,-79.390694346,1
1123 Yonge St,43.681407437,-79.391157623,1
876 Dundas St W,43.651278264,-79.411376278,2
782 Dundas St W,43.652023907,-79.407690605,4
856 Dundas St W,43.65145551,-79.410496758,1
772A Dundas St W,43.652050883,-79.407560285,4
1026 Dundas St W,43.650240146,-79.416528555,1
830A Dundas St W,43.651675472,-79.409391002,2
924 Dundas St W,43.650928508,-79.413097146,1
918 Dundas St W,43.651022302,-79.412644812,1
852A Dundas St W,43.651510826,-79.410233143,2
768 Dundas St W,43.65215035,-79.40707885,1
760 Dundas St W,43.652208171,-79.406811701,1
866 Dundas St W,43.651388176,-79.410825233,1
1082 Dundas St W,43.649794891,-79.418739858,2
399 Palmerston Blvd,43.659464316,-79.411157835,1
1 Christie St,43.6637452,-79.418412826,2
390 Dupont St,43.673952481,-79.410873634,1
308 Dupont St,43.674694338,-79.408231327,1
191 Spadina Rd,43.673569454,-79.406470602,1
370A College St,43.657175224,-79.404625397,2
195 Davenport Rd,43.67505401,-79.39444,3
133 Hazelton Ave,43.675035118,-79.394551139,1
225 Davenport Rd,43.674766461,-79.395865778,1
126 Scollard St,43.671714341,-79.393384983,1
888 Dupont St,43.670186736,-79.428735433,2
324 College St,43.657578919,-79.402588026,1
401 College St,43.656759275,-79.405664431,5
8A Brunswick Ave,43.657266551,-79.404213304,4
132 Bellevue Ave,43.656946343,-79.40464558,2
347-351 College St,43.657180056,-79.403357464,1
191 St George St,43.671538688,-79.401367255,1
27 Prince Arthur Ave,43.669440541,-79.396725223,1
243 Davenport Rd,43.674473223,-79.39729699,3
177 St George St,43.671339156,-79.401282254,1
342 Davenport Rd,43.675118801000004,-79.401310926,1
329 St George St,43.675597011,-79.403167615,4
277 St George St,43.674031672,-79.402838322,3
365 College St,43.657053741,-79.404164136,5
432 College St,43.656676854,-79.407183564,1
355 College St,43.657163546,-79.403608189,1
326 College St,43.657506355,-79.403076147,2
423 College St,43.656437747,-79.407160303,2
416 Bloor St E,43.672349381,-79.377241845,3
1255 Yonge St,43.684192737,-79.392397275,2
671 University Ave,43.659963614,-79.389421099,2
68 College St,43.660834887,-79.386231846,5
2 Cumberland St,43.670770795,-79.387127405,8
711-717 Bay St,43.659116571,-79.385003823,4
838 Bloor St W,43.662414783,-79.42394641,1
467 College St,43.656185506,-79.408592256,2
471 College St,43.656152275,-79.408752247,1
879 Bloor St W,43.662011126,-79.42518124,1
788 College St,43.654787874,-79.421103219,1
300 Markham St,43.656068007,-79.409155098,3
35 Bellevue Ave,43.654124406,-79.403221914,3
27 Wales Ave,43.653172423,-79.402835816,2
349A Harbord St,43.65914204,-79.420997895,3
326 Harbord St,43.660079479,-79.417235447,2
650 Church St,43.67041882,-79.382990777,3
99 Yorkville Ave,43.670902408,-79.392145216,2
32 Cumberland St,43.670874842,-79.388457767,2
80 Cumberland St,43.670498362,-79.390272737,1
350 Huron St,43.663710245,-79.400187274,3
795 College St,43.654739378,-79.420690632,2
872 Bloor St W,43.662224611,-79.424820171,1
595 College St,43.655179582,-79.413678426,1
491 College St,43.655962679,-79.409675721,2
876 Bloor St W,43.662162937,-79.425114978,2
825 College St,43.654428751,-79.422174642,4
778 College St,43.654862836,-79.420744212,1
20 St Andrew St,43.654183566,-79.399877151,4
48 Kensington Ave,43.65397936,-79.400487949,1
297 Harbord St,43.660280195,-79.415513993,2
111 Yorkville Ave,43.670791722,-79.392689869,1
852 Bathurst St,43.666496484,-79.411839555,1
910 Bathurst St,43.667977062,-79.41242391,1
533 Bloor St W,43.665394293,-79.409644618,2
327 Bloor St W,43.667356781,-79.400184693,5
1021 Bathurst St,43.671257737,-79.413511767,1
555 Bloor St W,43.66522006,-79.410474454,1
277 Borden St,43.665584931,-79.408502944,4
467 Bloor St W,43.666007027,-79.406705799,1
563 Bloor St W,43.665145145,-79.410834959,1
1044 Bathurst St,43.671656257,-79.413867984,1
832 Bathurst St,43.665799081,-79.411567432,2
1088 Bathurst St,43.672635486,-79.414263051,1
25 Harbord St,43.66360531,-79.399206793,2
486 Spadina Ave,43.658532946,-79.400473766,1
701A Bloor St W,43.663669675,-79.417611656,3
361A Clinton St,43.663803156,-79.416992269,1
628 Bloor St W,43.664497338,-79.414424025,1
723 Bloor St W,43.663511474,-79.418301784,1
710 Bloor St W,43.663736741,-79.417911958,2
560 Bloor St W,43.665138999,-79.411476288,1
663 Bloor St W,43.664078491,-79.415735392,1
704 Bloor St W,43.663807668,-79.417588646,1
809 Yonge St,43.672327012,-79.387534662,3
252 Mc Caul St,43.658461495,-79.393077784,4
440 College St,43.656662761,-79.407428587,5
486 Bloor St W,43.665530352,-79.409610192,1
350 Bloor St W,43.666555371,-79.404706967,1
324 Bloor St W,43.666869379,-79.403250596,2
1 Rowanwood Ave,43.678945116,-79.390227302,2
657 Spadina Ave,43.664038215,-79.40231028,2
130-140 St George St,43.664452156,-79.398657563,1
828 Dundas St W,43.651687694,-79.409340678,1
1110 Dundas St W,43.649542629,-79.419973289,1
870 Dundas St W,43.651334712,-79.411098839,1
920 Dundas St W,43.650949544,-79.412985729,1
916 Dundas St W,43.651039138,-79.412566651,1
218 Beverley St,43.657481618,-79.395440914,2
336 Davenport Rd,43.674949522,-79.401080677,1
500 Dundas St W,43.653126529,-79.397931108,2
554 Roxton Rd,43.662157575,-79.424513411,2
826 College St,43.654529646,-79.422325738,2
695 College St,43.655127466,-79.417305106,3
673 College St,43.655096595,-79.417060695,2
737 Ossington Ave,43.662211409,-79.425648736,1
2 Bellevue Ave,43.653176096,-79.40285411,1
532 Palmerston Blvd,43.66379793,-79.413400942,3
587 Markham St,43.663827594,-79.411935684,1
111 Queen's Park,43.668016146,-79.393712242,2
23 Queen's Park Cres E,43.662985593,-79.390268448,2
187 Baldwin St,43.654653081,-79.401141534,1
670 Dundas St W,43.651854199,-79.4034648,1
83 Nassau St,43.654901759,-79.40353088,2
71 Nassau St,43.655078755,-79.402745452,1
562 Dundas St W,43.652561024,-79.400028708,3
1180 Bay St,43.669425752,-79.389467841,1
1102 Bay St,43.667759311,-79.388767545,1
261 College St,43.657914036,-79.399525823,1
301 Davenport Rd,43.674425148,-79.400581911,1
263-265 Davenport Rd,43.674271424,-79.398341184,1
314 Davenport Rd,43.674691008,-79.400685222,2
330 Davenport Rd,43.675103248,-79.40130911,2
37 Prince Arthur Ave,43.669291533,-79.397378246,1
318 St George St,43.674990179,-79.403451383,1
468 Bloor St W,43.665598281,-79.409295329,1
440 Bloor St W,43.665757548,-79.408514248,1
17 Prince Arthur Ave,43.669597623,-79.395967428,1
29 Yorkville Ave,43.671573766,-79.38892621,2
1052 Bathurst St,43.671867847,-79.413952267,1
561 Bloor St W,43.665166932,-79.410728818,1
565 Bloor St W,43.665129471,-79.410909816,1
966 Bathurst St,43.669408748,-79.41298434,1
348 Bloor St W,43.666594202,-79.404529986,1
526 Bloor St W,43.665257097,-79.410913039,1
377 Ossington Ave,43.652256137,-79.421755277,1
912 Dundas St W,43.651051329,-79.412500394,2
3 Scollard St,43.672582185,-79.388069363,3
12 Elm St,43.65777127,-79.382477139,2
38 Elm St,43.657593125,-79.38332738,2
4 Edward St,43.656996553,-79.381579832,2
100 Dundas St W,43.655962291,-79.383949618,1
654 Manning Ave,43.663925201,-79.416427919,1
668 Bloor St W,43.664081964,-79.41629621,1
733 Bloor St W,43.663461977,-79.418533445,1
631B Bloor St W,43.664344226,-79.414495096,1
632 Bloor St W,43.664477239,-79.414530203,2
890 Dundas St W,43.651180924,-79.411843174,1
786 Dundas St W,43.651992468,-79.407874822,2
1000 Dundas St W,43.650405906,-79.415698974,1
1140 Dundas St W,43.649541917,-79.420734684,3
842 Dundas St W,43.651533655,-79.410100926,1
795 Bloor St W,43.662867402,-79.42125985,2
815 College St,43.654471981,-79.421976305,2
197 College St,43.658773747,-79.395078858,1
739 Ossington Ave,43.662242353,-79.425664085,1
409 Roxton Rd,43.658779078,-79.422821731,4
856 Bloor St W,43.662342826,-79.424275553,3
299 Harbord St,43.660269935,-79.415563252,1
290 Harbord St,43.660504152,-79.415170765,1
338 Harbord St,43.659618267,-79.419436064,1
632 College St,43.65500817,-79.415257813,1
644 College St,43.655113595,-79.415812285,2
722 College St,43.655171638,-79.419379284,1
54 Kensington Ave,43.654169694,-79.400517502,3
56B Kensington Ave,43.654193522,-79.400530583,1
255 Christie St,43.670299636,-79.420952846,1
659 Markham St,43.665657134,-79.412653488,1
161 Christie St,43.667709017,-79.419962196,1
110 Davenport Rd,43.674084614,-79.391598895,1
348 Dupont St,43.674384696,-79.40929481,1
169 Clinton St,43.658434521,-79.415045524,2
189 Augusta Ave,43.65336477,-79.401468245,1
272 Augusta Ave,43.656697361,-79.402960603,2
276 Augusta Ave,43.656856382,-79.403020128,1
71 Oxford St,43.655973518,-79.402657339,1
183 College St,43.658941035,-79.394326068,1
315 Spadina Ave,43.654105678,-79.398287796,1
370 Dupont St,43.674043841,-79.41043876,1
71 Spadina Rd,43.669833012,-79.405001961,1
205 Spadina Rd,43.67413831,-79.406685644,1
168 Baldwin St,43.654882258,-79.40030231,2
90 Nassau St,43.655024331,-79.403731592,1
412 College St,43.656829818,-79.406613782,2
356 Spadina Ave,43.654602733,-79.398896188,1
294-296 Spadina Ave,43.653131028,-79.398305848,1
900 Bay St,43.663714709,-79.387005456,3
390 Bloor St W,43.666065148,-79.407051177,2
336 Bloor St W,43.666624175,-79.404386611,2
522 Bloor St W,43.665277569,-79.410819541,1
358 Bloor St W,43.666498219,-79.404980327,1
705 College St,43.655143096,-79.418088175,1
532 Dundas St W,43.652791725,-79.398972985,1
86 Nassau St,43.655055593,-79.403382191,1
1132 Dundas St W,43.649491895,-79.420246794,3
792 College St,43.654759129,-79.421243741,1
709 College St,43.655140399,-79.418167453,1
697 College St,43.655157163,-79.417586808,1
804 Bloor St W,43.662724886,-79.422557598,1
708 Crawford St,43.662657335,-79.422245931,1
725 College St,43.65453743,-79.418895794,2
384 College St,43.657033441,-79.405378396,3
434 College St,43.656670331,-79.407398491,1
826 Dundas St W,43.651698585,-79.409285448,1
926 Dundas St W,43.650908689,-79.413204487,1
802A Dundas St W,43.651813785,-79.408715387,1
713 College St,43.655141447,-79.418302808000007,1
669 College St,43.655083913,-79.417000221,1
293A Palmerston Ave,43.655942266,-79.409789668,1
569 Crawford St,43.659371418,-79.420596861,1
598 Markham St,43.663986105,-79.412142152,1
343 Harbord St,43.659306778,-79.420250243,1
602 Markham St,43.664119513,-79.4121928,1
138 Bedford Rd,43.673110938,-79.399379525,1
265 Davenport Rd,43.674254662,-79.398446134,1
148 Avenue Rd,43.674745752,-79.396877345,2
1092 Bathurst St,43.67273053,-79.414297942,1
830 Bathurst St,43.665774066,-79.411555985,1
890 Yonge St,43.673255852,-79.388102056,3
914 Yonge St,43.674044426,-79.388425575,2
86 Harbord St,43.662976687,-79.402812048,3
66 Harbord St,43.66323286,-79.401762032,2
563 Spadina Cres,43.660266039,-79.400267295,1
488 College St,43.656201878,-79.409519736,1
637 College St,43.654871196,-79.415337179,3
496 College St,43.656147177,-79.409780713,1
492 College St,43.656160822,-79.409705227,1
756 College St,43.655115878,-79.419677028,1
566 Bloor St W,43.665068591,-79.411801069,1
364 Clinton St,43.66384003,-79.417429563,2
682A Bloor St W,43.663978721,-79.416791085,3
631 Bloor St W,43.664375914,-79.414361191,1
647 Bloor St W,43.664200162,-79.415179942,1
576 Bloor St W,43.665042268,-79.411948586,1
150 Beverley St,43.654435547,-79.394184195,2
441 Bathurst St,43.655023812,-79.407015141,1
43 Baldwin St,43.655899125,-79.39378278,1
284 College St,43.657857597,-79.401221064,1
70 Cumberland St,43.6707735,-79.389802308,5
1278 Bay St,43.671600314,-79.390390668,2
1235 Bay St,43.670993906,-79.389896394,2
653 Dupont St,43.671589225,-79.42121178,3
645 Dupont St,43.671648135,-79.420969359,1
34 McMurrich St,43.67403281,-79.390027902,1
321 Bloor St W,43.667326305,-79.3996357,7
404 College St,43.656865527,-79.406203689,2
429 College St,43.656382751,-79.407401911,3
716 Bathurst St,43.663040336,-79.410465401,2
428 Summerhill Ave,43.686136478,-79.375895874,2
388 Dupont St,43.673986887,-79.41070625,1
12 Hazelton Ave,43.67123627,-79.393287015,1
121 Yorkville Ave,43.670673651,-79.393221261,1
221 Davenport Rd,43.674832018,-79.395563288,1
180 Bloor St W,43.668654206,-79.394734611,1
182 Mc Caul St,43.65653675,-79.392455783,1
20 Baldwin St,43.656140833,-79.393107553,1
19 Baldwin St,43.656066876,-79.392978125,1
742 Bathurst St,43.663952451,-79.410830484,1
147 Harbord St,43.662117803,-79.406439779,1
610 University Ave,43.658290941,-79.390050103,9
791 Bathurst St,43.66482493,-79.410979882,1
102 Yorkville Ave,43.670948811,-79.392333771,1
295 College St,43.657587221,-79.401564984,2
194 Dupont St,43.675526257,-79.404271736,1
89 Gerrard St W,43.658188279,-79.386012778,1
292 Dundas St W,43.654462907,-79.391020989,1
163 Cumberland St,43.669722703,-79.393641381,1
86 Yorkville Ave,43.67109814,-79.391617115,2
146 Cumberland St,43.669955097,-79.392853896,1
98 Yorkville Ave,43.670969025,-79.392235446,1
948 Yonge St,43.674765671,-79.388726314,1
946 Yonge St,43.674692461,-79.388698877,1
738 Spadina Ave,43.665873108,-79.403435286,3
14 Madison Ave,43.667908974,-79.403146933,4
7 Hayden St,43.669379053,-79.386201283,1
93 Charles St W,43.667398229,-79.392575777,2
292 Harbord St,43.660497756,-79.415199503,1
333 Bloor St E,43.67146583,-79.3803793,2
810 Church St,43.672051211,-79.385260024,2
98 Scollard St,43.671845161,-79.392039534,1
510 Bathurst St,43.657103097,-79.408062901,1
184 Harbord St,43.662171344,-79.406815227,2
170 Brunswick Ave,43.662351913,-79.406178842,2
788 Bay St,43.660485383,-79.385819182,2
130 Dundas St W,43.6556214,-79.384554761,1
724 Bay St,43.658923221,-79.385158061,2
696 Bay St,43.657909844,-79.384753626,1
717 Bay St,43.659497557,-79.385165353,2
112 Yorkville Ave,43.670822638,-79.39291549,1
82 Yorkville Ave,43.671137293,-79.391422141,1
60 Harbord St,43.663246543,-79.401599553,5
756 Yonge St,43.669498087,-79.386548384,1
244 Bloor St W,43.668222027,-79.39736882,2
46 St George St,43.660312391,-79.39733609,4
4 Sherbourne St N,43.674008714,-79.377536286,1
827 College St,43.654395665,-79.422308886,2
304 College St,43.657674422,-79.401996208,4
112 Harbord St,43.662848779,-79.403845049,2
195 Harbord St,43.661599439,-79.408901819,2
720 Bathurst St,43.663267199,-79.410554662,2
189 Harbord St,43.661736292,-79.408364881,1
288 Bloor St W,43.667328117,-79.401453629,5
187 Madison Ave,43.6739167,-79.405374824,2
298 Brunswick Ave,43.665592256,-79.407389943,2
678 Bathurst St,43.661983694,-79.410033989,2
106 Harbord St,43.662811046,-79.403626486,2
154 Harbord St,43.662410069,-79.405617353,1
81 Harbord St,43.66274283,-79.403337715,2
23 Davenport Rd,43.672854347,-79.389599956,1
36 Madison Ave,43.668885097,-79.403528786,1
96 Harbord St,43.6629088,-79.4032266,1
256 Mc Caul St,43.658584434,-79.393326583,4
832 College St,43.654676766,-79.422709629,5
150 College St,43.659563811,-79.392197288,3
720 Spadina Ave,43.665400979,-79.403221001,2
205 College St,43.65891443,-79.396162133,4
111-113 Yorkville Ave,43.670861152,-79.392328423,2
4A Cumberland St,43.671087905,-79.387441083,2
398 Huron St,43.66556365,-79.40097041,2
767 Yonge St,43.671127388,-79.387040903,2
100 St George St,43.66219868,-79.399578823,1
264 College St,43.658122356,-79.399902879,1
736 Spadina Ave,43.665816482,-79.403404236,1
9A Yorkville Ave,43.671716086000004,-79.388221371,1
617 Spadina Ave,43.662336139,-79.401635951,1
94 Prince Arthur Ave,43.668724171,-79.402049992,1
760 Bay St,43.659896446,-79.385571399,2
1310 Bay St,43.672803149,-79.390879639,3
730 Bathurst St,43.663572477,-79.41067358,2
183 Lowther Ave,43.668052144,-79.407956867,1
797 College St,43.654728437,-79.420753547,1
319 College St,43.657492074,-79.401967934,1
283 College St,43.657703119,-79.400910523,1
75 Scollard St,43.671974311,-79.391063666,1
180 Baldwin St,43.654748006,-79.400942737,1
427 Bloor St W,43.666126452,-79.406138074,9
100 Cumberland St,43.670494604,-79.391046742,2
63A Yorkville Ave,43.671173885,-79.390831962,1
657 Dupont St,43.671563068,-79.421347294,1
2 London St,43.666705527,-79.411921275,1
586 College St,43.655373094,-79.41338233,1
1132 Yonge St,43.679375199,-79.390607451,1
367 Spadina Ave,43.655702971,-79.398940978,1
532A College St,43.655913789,-79.410907939,2
