street_address,latitude,longitude,number_of_spots
23 Prince Arthur Ave,43.669514654,-79.396374387,1
483 Bloor St W,43.665676174,-79.407418016,9
110 St George St,43.663248335,-79.398242414,18
754 Bay St,43.659808724,-79.385531965,3
12 Roxton Rd,43.6495721,-79.41981449,2
376 Bloor St W,43.666265817,-79.406092543,3
728 Bloor St W,43.663683276,-79.418153691,3
650 Dupont St,43.671771568,-79.421099347,5
690 Bay St,43.657838871,-79.384725716,1
10 Bellair St,43.669632843,-79.390723942,6
129 College St,43.659578477,-79.39133192,11
23 College St,43.661138146,-79.383842354,3
731 College St,43.654728168,-79.418959106,14
250 Dundas St W,43.654649501,-79.389655348,17
368 Spadina Ave,43.654917179,-79.399015352,2
764 Dundas St W,43.652174032,-79.406948106,2
715 Bloor St W,43.663583051,-79.417983233,4
320 Robert St,43.666097794,-79.405263719,2
217 St George St,43.67192525,-79.401536456,3
140 St George St,43.665320766,-79.399229668,44
614 College St,43.655095468,-79.414758144,1
681 Yonge St,43.668877842,-79.386106988,1
565 College St,43.655357757,-79.412807533,3
55 Harbord St,43.663143307,-79.401403775,14
160 Bloor St E,43.671560038,-79.383246906,5
90 Gerrard St W,43.658745167,-79.386551962,8
469 Bloor St W,43.665994271,-79.406767652,1
468 Huron St,43.666737364,-79.401429876,13
159 Harbord St,43.661989468,-79.406977847,1
18 Baldwin St,43.656155034,-79.393018148,1
334 Bloor St W,43.666660741,-79.404201444,2
887 Yonge St,43.67416364,-79.388257294,2
117 Harbord St,43.662500924,-79.404507644,2
465 Bloor St W,43.666024318,-79.406620785,1
224 College St,43.658473109,-79.397542911,6
175 Elizabeth St,43.657480049,-79.385963285,3
161 Spadina Rd,43.672638332,-79.406088669,1
777 Bay St,43.660795991,-79.385451188,17
600 Bay St,43.655884745,-79.383906847,1
508 Bloor St W,43.665358352,-79.410418487,2
599 Markham St,43.664232582,-79.41209747,2
560 Palmerston Ave,43.665089609,-79.413887605,3
18 Orde St,43.658298845,-79.392028292,6
136 Edward St,43.655658379,-79.387944726,2
21 College St,43.661154307,-79.383781097,1
711 Bay St,43.658664781,-79.384436311,10
72 Elm St,43.657239633,-79.384952016,7
150 Gerrard St W,43.657965654,-79.387997509,12
190 Elizabeth St,43.658334124,-79.386526214,5
220 Elizabeth St,43.660144855,-79.387332615,11
137 Edward St,43.655470872,-79.388089754,4
170 Elizabeth St,43.657298926,-79.386131749,1
61 College St,43.660548295,-79.386531038,6
555 University Ave,43.656824088,-79.386981895,25
78 Elm St,43.657155486,-79.385331797,1
1088 Yonge St,43.678090457,-79.390235486,3
27 College St,43.660989813,-79.38455051,6
811 Bloor St W,43.662763656,-79.421742961,1
19A Yorkville Ave,43.671621523,-79.38869656,1
672 Dupont St,43.67158212,-79.422176173,12
464 Spadina Ave,43.657695481,-79.400121258,4
322 Bloor St W,43.666893094,-79.403127528,4
754 Bathurst St,43.664269276,-79.410953051,1
222 Christie St,43.66968952,-79.420850745,2
826 Yonge St,43.67104083,-79.387356293,3
194 Brunswick Ave,43.662926913,-79.406339977,2
1098 Yonge St,43.678348747,-79.390192036,2
558 Dundas St W,43.652669026,-79.399532661,3
431 College St,43.656300339,-79.407531013,2
357 College St,43.657167007,-79.403668603,2
124 Devonshire Pl,43.667651467,-79.398781664,7
88 Elm St,43.657256086,-79.385870251,12
60 Grosvenor St,43.662277767,-79.387538789,8
626 College St,43.655018413,-79.415165133,7
16 Russell St,43.660177675,-79.398431085,4
622 Bloor St W,43.664561789,-79.414138068,2
599 Bloor St W,43.664672004,-79.412987147,1
255 Mc Caul St,43.658126355,-79.392838972,3
57 Grenville St,43.661561522,-79.38632452,12
235 Mc Caul St,43.657831153,-79.392842317,6
1000 Yonge St,43.675600879,-79.3891635,3
175 Bloor St E,43.67030154,-79.382744815,6
270 Bloor St W,43.667408915,-79.400727563,1
55 Scollard St,43.672213056,-79.389854447,4
153 Mc Caul St,43.655591863,-79.39188679,4
19 Orde St,43.658266696,-79.391427277,10
16 Baldwin St,43.656204293,-79.392801127,3
522 University Ave,43.655729061,-79.389560059,23
222 St Patrick St,43.655871222,-79.390830076,4
839 Yonge St,43.673584024,-79.388037016,2
25 Prince Arthur Ave,43.669463472,-79.396623646,2
