age,age_type,gender,number
67,single-year,total,6315
68,single-year,male,1914
68,single-year,female,1612
68,single-year,total,3526
69,single-year,male,2408
69,single-year,female,2104
69,single-year,total,4512
65-69,age-group,male,14458
65-69,age-group,female,11925
65-69,age-group,total,26383
70,single-year,male,2676
70,single-year,female,2653
70,single-year,total,5329
71,single-year,male,1797
71,single-year,female,1541
71,single-year,total,3338
72,single-year,male,1672
72,single-year,female,1376
72,single-year,total,3048
73,single-year,male,1295
73,single-year,female,1119
73,single-year,total,2414
74,single-year,male,1129
74,single-year,female,1096
74,single-year,total,2225
70-74,age-group,male,8569
70-74,age-group,female,7785
70-74,age-group,total,16354
75,single-year,male,909
75,single-year,female,1084
75,single-year,total,1993
76,single-year,male,849
76,single-year,female,947
76,single-year,total,1796
77,single-year,male,682
77,single-year,female,763
77,single-year,total,1445
78,single-year,male,505
78,single-year,female,516
78,single-year,total,1021
79,single-year,male,530
79,single-year,female,652
79,single-year,total,1182
75-79,age-group,male,3475
75-79,age-group,female,3962
75-79,age-group,total,7437
80,single-year,male,603
80,single-year,female,917
80,single-year,total,1520
81,single-year,male,302
81,single-year,female,432
81,single-year,total,734
82,single-year,male,341
82,single-year,female,408
82,single-year,total,749
83,single-year,male,335
83,single-year,female,388
83,single-year,total,723
84,single-year,male,275
84,single-year,female,384
84,single-year,total,659
80-84,age-group,male,1856
80-84,age-group,female,2529
80-84,age-group,total,4385
85,single-year,male,243
85,single-year,female,335
85,single-year,total,578
86,single-year,male,172
86,single-year,female,268
86,single-year,total,440
87,single-year,male,155
87,single-year,female,270
87,single-year,total,425
88,single-year,male,111
88,single-year,female,132
88,single-year,total,243
89,single-year,male,116
89,single-year,female,248
89,single-year,total,364
85-89,age-group,male,797
85-89,age-group,female,1253
85-89,age-group,total,2050
90,single-year,male,89
90,single-year,female,218
90,single-year,total,307
91,single-year,male,65
91,single-year,female,135
91,single-year,total,200
92,single-year,male,47
92,single-year,female,98
92,single-year,total,145
93,single-year,male,39
93,single-year,female,75
93,single-year,total,114
94,single-year,male,30
94,single-year,female,77
94,single-year,total,107
90-94,age-group,male,270
90-94,age-group,female,603
90-94,age-group,total,873
95,single-year,male,32
95,single-year,female,108
95,single-year,total,140
96,single-year,male,29
96,single-year,female,65
96,single-year,total,94
97,single-year,male,22
97,single-year,female,46
97,single-year,total,68
98,single-year,male,16
98,single-year,female,34
98,single-year,total,50
99,single-year,male,16
99,single-year,female,66
99,single-year,total,82
95-99,age-group,male,115
95-99,age-group,female,319
95-99,age-group,total,434
100+,single-year,male,35
100+,single-year,female,171
100+,single-year,total,206
NotStated,single-year,male,74
NotStated,single-year,female,69
NotStated,single-year,total,143
