occupancy_date,id,occupied_beds
2021-07-01,7298702,4
2021-07-01,7298703,16
2021-07-01,7298704,NA
2021-07-01,7298705,24
2021-07-01,7298706,23
2021-07-01,7298707,24
2021-07-01,7298708,NA
2021-07-01,7298709,NA
2021-07-01,7298710,11
2021-07-01,7298711,8
2021-07-01,7298712,9
2021-07-01,7298713,24
2021-07-02,7298714,NA
2021-07-02,7298715,NA
2021-07-02,7298716,NA
2021-07-02,7298717,7
2021-07-02,7298718,NA
2021-07-02,7298719,NA
2021-07-02,7298720,NA
2021-07-02,7298721,NA
2021-07-02,7298722,NA
2021-07-02,7298723,NA
2021-07-02,7298724,NA
2021-07-02,7298725,26
2021-07-02,7298726,15
2021-07-02,7298727,NA
2021-07-02,7298728,NA
2021-07-02,7298729,NA
2021-07-02,7298730,NA
2021-07-02,7298731,11
2021-07-02,7298732,NA
2021-07-02,7298733,NA
2021-07-02,7298734,NA
2021-07-02,7298735,6
2021-07-02,7298736,NA
2021-07-02,7298737,NA
2021-07-02,7298738,NA
2021-07-02,7298739,31
2021-07-02,7298740,NA
2021-07-02,7298741,24
2021-07-02,7298742,NA
2021-07-02,7298743,NA
2021-07-02,7298744,NA
2021-07-02,7298745,NA
2021-07-02,7298746,67
2021-07-02,7298747,50
2021-07-02,7298748,34
2021-07-02,7298749,51
2021-07-02,7298750,55
2021-07-02,7298751,17
2021-07-02,7298752,8
2021-07-02,7298753,47
2021-07-02,7298754,15
2021-07-02,7298755,NA
2021-07-02,7298756,3
2021-07-02,7298757,3
2021-07-02,7298758,52
2021-07-02,7298759,21
2021-07-02,7298760,2
2021-07-02,7298761,NA
2021-07-02,7298762,47
2021-07-02,7298763,27
2021-07-02,7298764,43
2021-07-02,7298765,48
2021-07-02,7298766,NA
2021-07-02,7298767,38
2021-07-02,7298768,NA
2021-07-02,7298769,NA
2021-07-02,7298770,22
2021-07-02,7298771,41
2021-07-02,7298772,NA
2021-07-02,7298773,15
2021-07-02,7298774,14
2021-07-02,7298775,3
2021-07-02,7298776,11
2021-07-02,7298777,33
2021-07-02,7298778,24
2021-07-02,7298779,NA
2021-07-02,7298780,25
2021-07-02,7298781,23
2021-07-02,7298782,27
2021-07-02,7298783,NA
2021-07-02,7298784,45
2021-07-02,7298785,2
2021-07-02,7298786,25
2021-07-02,7298787,22
2021-07-02,7298788,24
2021-07-02,7298789,5
2021-07-02,7298790,NA
2021-07-02,7298791,46
2021-07-02,7298792,NA
2021-07-02,7298793,55
2021-07-02,7298794,17
2021-07-02,7298795,50
2021-07-02,7298796,29
2021-07-02,7298797,41
2021-07-02,7298798,NA
2021-07-02,7298799,NA
2021-07-02,7298800,124
2021-07-02,7298801,36
2021-07-02,7298802,89
2021-07-02,7298803,29
2021-07-02,7298804,3
2021-07-02,7298805,75
2021-07-02,7298806,18
2021-07-02,7298807,NA
2021-07-02,7298808,15
2021-07-02,7298809,25
2021-07-02,7298810,33
2021-07-02,7298811,14
2021-07-02,7298812,9
2021-07-02,7298813,NA
2021-07-02,7298814,9
2021-07-02,7298815,14
2021-07-02,7298816,17
2021-07-02,7298817,12
2021-07-02,7298818,24
2021-07-02,7298819,18
2021-07-02,7298820,42
2021-07-02,7298821,NA
2021-07-02,7298822,28
2021-07-02,7298823,NA
2021-07-02,7298824,NA
2021-07-02,7298825,60
2021-07-02,7298826,NA
2021-07-02,7298827,49
2021-07-02,7298828,NA
2021-07-02,7298829,54
2021-07-02,7298830,NA
2021-07-02,7298831,166
2021-07-02,7298832,33
2021-07-02,7298833,NA
2021-07-02,7298834,18
2021-07-02,7298835,12
2021-07-02,7298836,34
2021-07-02,7298837,NA
2021-07-02,7298838,5
2021-07-02,7298839,16
2021-07-02,7298840,32
2021-07-02,7298841,4
2021-07-02,7298842,19
2021-07-02,7298843,NA
2021-07-02,7298844,24
2021-07-02,7298845,25
2021-07-02,7298846,22
2021-07-02,7298847,NA
2021-07-02,7298848,NA
2021-07-02,7298849,11
2021-07-02,7298850,8
2021-07-02,7298851,9
2021-07-02,7298852,25
2021-07-03,7298853,NA
2021-07-03,7298854,NA
2021-07-03,7298855,NA
2021-07-03,7298856,7
2021-07-03,7298857,NA
2021-07-03,7298858,NA
2021-07-03,7298859,NA
2021-07-03,7298860,NA
2021-07-03,7298861,NA
2021-07-03,7298862,NA
2021-07-03,7298863,NA
2021-07-03,7298864,27
2021-07-03,7298865,15
2021-07-03,7298866,NA
2021-07-03,7298867,NA
